Metro_code,Country,Province,Metro
630,United States,Alabama,"Birmingham, AL"
606,United States,Alabama,"Dothan, AL"
691,United States,Alabama,"Huntsville-Decatur (Florence), AL"
698,United States,Alabama,"Montgomery (Selma), AL"
743,United States,Alaska,"Anchorage, AK"
745,United States,Alaska,"Fairbanks, AK"
747,United States,Alaska,"Juneau, AK"
753,United States,Arizona,"Phoenix, AZ"
789,United States,Arizona,"Tucson (Sierra Vista), AZ"
670,United States,Arkansas,"Ft. Smith-Fayetteville-Springdale-Rogers, AR"
734,United States,Arkansas,"Jonesboro, AR"
693,United States,Arkansas,"Little Rock-Pine Bluff, AR"
628,United States,Arkansas,"Monroe, LA-El Dorado, AR"
800,United States,California,"Bakersfield, CA"
868,United States,California,"Chico-Redding, CA"
802,United States,California,"Eureka, CA"
866,United States,California,"Fresno-Visalia, CA"
803,United States,California,"Los Angeles, CA"
828,United States,California,"Monterey-Salinas, CA"
804,United States,California,"Palm Springs, CA"
862,United States,California,"Sacramento-Stockton-Modesto, CA"
825,United States,California,"San Diego, CA"
807,United States,California,"San Francisco-Oakland-San Jose, CA"
855,United States,California,"Santa Barbara-Santa Maria-San Luis Obispo, CA"
771,United States,California,"Yuma, AZ-El Centro, CA"
752,United States,Colorado,"Colorado Springs-Pueblo, CO"
751,United States,Colorado,"Denver, CO"
773,United States,Colorado,"Grand Junction-Montrose, CO"
533,United States,Connecticut,"Hartford & New Haven, CT"
571,United States,Florida,"Ft. Myers-Naples, FL"
592,United States,Florida,"Gainesville, FL"
561,United States,Florida,"Jacksonville, FL"
528,United States,Florida,"Miami-Ft. Lauderdale, FL"
686,United States,Florida,"Mobile, AL-Pensacola (Ft. Walton Beach), FL"
534,United States,Florida,"Orlando-Daytona Beach-Melbourne, FL"
656,United States,Florida,"Panama City, FL"
539,United States,Florida,"Tampa-St Petersburg (Sarasota), FL"
548,United States,Florida,"West Palm Beach-Ft. Pierce, FL"
525,United States,Georgia,"Albany, GA"
524,United States,Georgia,"Atlanta, GA"
520,United States,Georgia,"Augusta, GA"
522,United States,Georgia,"Columbus, GA"
503,United States,Georgia,"Macon, GA"
507,United States,Georgia,"Savannah, GA"
530,United States,Georgia,"Tallahassee, FL-Thomasville, GA"
744,United States,Hawaii,"Honolulu, HI"
757,United States,Idaho,"Boise, ID"
758,United States,Idaho,"Idaho Falls-Pocatello, ID"
760,United States,Idaho,"Twin Falls, ID"
648,United States,Illinois,"Champaign & Springfield-Decatur,IL"
602,United States,Illinois,"Chicago, IL"
682,United States,Illinois,"Davenport,IA-Rock Island-Moline,IL"
632,United States,Illinois,"Paducah, KY-Cape Girardeau, MO-Harrisburg-Mount Vernon, IL"
675,United States,Illinois,"Peoria-Bloomington, IL"
610,United States,Illinois,"Rockford, IL"
649,United States,Indiana,"Evansville, IN"
509,United States,Indiana,"Ft. Wayne, IN"
527,United States,Indiana,"Indianapolis, IN"
582,United States,Indiana,"Lafayette, IN"
588,United States,Indiana,"South Bend-Elkhart, IN"
581,United States,Indiana,"Terre Haute, IN"
637,United States,Iowa,"Cedar Rapids-Waterloo-Iowa City & Dubuque, IA"
679,United States,Iowa,"Des Moines-Ames, IA"
717,United States,Iowa,"Quincy, IL-Hannibal, MO-Keokuk, IA"
624,United States,Iowa,"Sioux City, IA"
603,United States,Kansas,"Joplin, MO-Pittsburg, KS"
605,United States,Kansas,"Topeka, KS"
678,United States,Kansas,"Wichita-Hutchinson, KS"
736,United States,Kentucky,"Bowling Green, KY"
541,United States,Kentucky,"Lexington, KY"
529,United States,Kentucky,"Louisville, KY"
644,United States,Louisiana,"Alexandria, LA"
716,United States,Louisiana,"Baton Rouge, LA"
642,United States,Louisiana,"Lafayette, LA"
643,United States,Louisiana,"Lake Charles, LA"
622,United States,Louisiana,"New Orleans, LA"
612,United States,Louisiana,"Shreveport, LA"
537,United States,Maine,"Bangor, ME"
500,United States,Maine,"Portland-Auburn, ME"
552,United States,Maine,"Presque Isle, ME"
512,United States,Maryland,"Baltimore, MD"
576,United States,Maryland,"Salisbury, MD"
521,United States,Massachusetts,"Providence, RI-New Bedford, MA"
543,United States,Massachusetts,"Springfield-Holyoke, MA"
583,United States,Michigan,"Alpena, MI"
505,United States,Michigan,"Detroit, MI"
513,United States,Michigan,"Flint-Saginaw-Bay City, MI"
563,United States,Michigan,"Grand Rapids-Kalamazoo-Battle Creek, MI"
551,United States,Michigan,"Lansing, MI"
553,United States,Michigan,"Marquette, MI"
540,United States,Michigan,"Traverse City-Cadillac, MI"
737,United States,Minnesota,"Mankato, MN"
613,United States,Minnesota,"Minneapolis-St. Paul, MN"
611,United States,Minnesota,"Rochester, MN-Mason City, IA-Austin, MN"
746,United States,Mississippi,"Biloxi-Gulfport, MS"
673,United States,Mississippi,"Columbus-Tupelo-West Point, MS"
647,United States,Mississippi,"Greenwood-Greenville, MS"
710,United States,Mississippi,"Hattiesburg-Laurel, MS"
718,United States,Mississippi,"Jackson, MS"
711,United States,Mississippi,"Meridian, MS"
604,United States,Missouri,"Columbia-Jefferson City, MO"
616,United States,Missouri,"Kansas City, MO"
631,United States,Missouri,"Ottumwa, IA-Kirksville, MO"
619,United States,Missouri,"Springfield, MO"
638,United States,Missouri,"St. Joseph, MO"
609,United States,Missouri,"St. Louis, MO"
756,United States,Montana,"Billings, MT"
754,United States,Montana,"Butte-Bozeman, MT"
798,United States,Montana,"Glendive, MT"
755,United States,Montana,"Great Falls, MT"
766,United States,Montana,"Helena, MT"
762,United States,Montana,"Missoula, MT"
759,United States,Nebraska,"Cheyenne, WY-Scottsbluff, NE"
722,United States,Nebraska,"Lincoln & Hastings-Kearney, NE"
740,United States,Nebraska,"North Platte, NE"
652,United States,Nebraska,"Omaha, NE"
839,United States,Nevada,"Las Vegas, NV"
811,United States,Nevada,"Reno, NV"
506,United States,New Hampshire,"Boston, MA-Manchester, NH"
790,United States,New Mexico,"Albuquerque-Santa Fe, NM"
532,United States,New York,"Albany-Schenectady-Troy, NY"
502,United States,New York,"Binghamton, NY"
514,United States,New York,"Buffalo, NY"
523,United States,New York,"Burlington, VT-Plattsburgh, NY"
565,United States,New York,"Elmira, NY"
501,United States,New York,"New York, NY"
538,United States,New York,"Rochester, NY"
555,United States,New York,"Syracuse, NY"
526,United States,New York,"Utica, NY"
549,United States,New York,"Watertown, NY"
517,United States,North Carolina,"Charlotte, NC"
518,United States,North Carolina,"Greensboro-High Point-Winston Salem, NC"
545,United States,North Carolina,"Greenville-New Bern-Washington, NC"
560,United States,North Carolina,"Raleigh-Durham (Fayetteville), NC"
550,United States,North Carolina,"Wilmington, NC"
724,United States,North Dakota,"Fargo-Valley City, ND"
687,United States,North Dakota,"Minot-Bismarck-Dickinson(Williston), ND"
515,United States,Ohio,"Cincinnati, OH"
510,United States,Ohio,"Cleveland-Akron (Canton), OH"
535,United States,Ohio,"Columbus, OH"
542,United States,Ohio,"Dayton, OH"
558,United States,Ohio,"Lima, OH"
547,United States,Ohio,"Toledo, OH"
554,United States,Ohio,"Wheeling, WV-Steubenville, OH"
536,United States,Ohio,"Youngstown, OH"
596,United States,Ohio,"Zanesville, OH"
650,United States,Oklahoma,"Oklahoma City, OK"
657,United States,Oklahoma,"Sherman, TX-Ada, OK"
671,United States,Oklahoma,"Tulsa, OK"
627,United States,Oklahoma,"Wichita Falls, TX & Lawton, OK"
821,United States,Oregon,"Bend, OR"
801,United States,Oregon,"Eugene, OR"
813,United States,Oregon,"Medford-Klamath Falls, OR"
820,United States,Oregon,"Portland, OR"
516,United States,Pennsylvania,"Erie, PA"
566,United States,Pennsylvania,"Harrisburg-Lancaster-Lebanon-York, PA"
574,United States,Pennsylvania,"Johnstown-Altoona, PA"
504,United States,Pennsylvania,"Philadelphia, PA"
508,United States,Pennsylvania,"Pittsburgh, PA"
577,United States,Pennsylvania,"Wilkes Barre-Scranton, PA"
519,United States,South Carolina,"Charleston, SC"
546,United States,South Carolina,"Columbia, SC"
570,United States,South Carolina,"Florence-Myrtle Beach, SC"
567,United States,South Carolina,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC"
764,United States,South Dakota,"Rapid City, SD"
725,United States,South Dakota,"Sioux Falls(Mitchell), SD"
575,United States,Tennessee,"Chattanooga, TN"
639,United States,Tennessee,"Jackson, TN"
557,United States,Tennessee,"Knoxville, TN"
640,United States,Tennessee,"Memphis, TN"
659,United States,Tennessee,"Nashville, TN"
662,United States,Texas,"Abilene-Sweetwater, TX"
634,United States,Texas,"Amarillo, TX"
635,United States,Texas,"Austin, TX"
692,United States,Texas,"Beaumont-Port Arthur, TX"
600,United States,Texas,"Corpus Christi, TX"
623,United States,Texas,"Dallas-Ft. Worth, TX"
765,United States,Texas,"El Paso, TX"
636,United States,Texas,"Harlingen-Weslaco-Brownsville-McAllen, TX"
618,United States,Texas,"Houston, TX"
749,United States,Texas,"Laredo, TX"
651,United States,Texas,"Lubbock, TX"
633,United States,Texas,"Odessa-Midland, TX"
661,United States,Texas,"San Angelo, TX"
641,United States,Texas,"San Antonio, TX"
709,United States,Texas,"Tyler-Longview(Lufkin & Nacogdoches), TX"
626,United States,Texas,"Victoria, TX"
625,United States,Texas,"Waco-Temple-Bryan, TX"
770,United States,Utah,"Salt Lake City, UT"
584,United States,Virginia,"Charlottesville, VA"
569,United States,Virginia,"Harrisonburg, VA"
544,United States,Virginia,"Norfolk-Portsmouth-Newport News,VA"
556,United States,Virginia,"Richmond-Petersburg, VA"
573,United States,Virginia,"Roanoke-Lynchburg, VA"
819,United States,Washington,"Seattle-Tacoma, WA"
881,United States,Washington,"Spokane, WA"
810,United States,Washington,"Yakima-Pasco-Richland-Kennewick, WA"
559,United States,West Virginia,"Bluefield-Beckley-Oak Hill, WV"
564,United States,West Virginia,"Charleston-Huntington, WV"
598,United States,West Virginia,"Clarksburg-Weston, WV"
597,United States,West Virginia,"Parkersburg, WV"
676,United States,Wisconsin,"Duluth, MN-Superior, WI"
658,United States,Wisconsin,"Green Bay-Appleton, WI"
702,United States,Wisconsin,"La Crosse-Eau Claire, WI"
669,United States,Wisconsin,"Madison, WI"
617,United States,Wisconsin,"Milwaukee, WI"
705,United States,Wisconsin,"Wausau-Rhinelander, WI"
767,United States,Wyoming,"Casper-Riverton, WY"
531,United States,Virginia,"Tri-Cities, TN-VA"
511,United States,Virginia,"Washington, DC (Hagerstown, MD)"
